customer_text,intent,escalate,escalate_reason,brand_text
I ordrd som prdcts and it delivrd on 16th Oct. Due to prodct damage  rtrned but. :(  Tis ia haw amzn harasing  cstmrs. @115821,Returns/Refunds,No,"The tweet describes a standard return process due to product damage and expresses general frustration, but does not indicate a complex issue, severe safety risk, or extreme anger requiring immediate human intervention.",@407551 Please report this to our support team here: https://t.co/TdDksLo6Mf and we'll look into this. 2/2 ^HD
@AmazonHelp So what do I do till 30th October - the date when echo is expected to be dispatched? Last year's prime expired yesterday.,Account/Billing Issue,No,The customer is inquiring about the status of their Prime membership and the gap in coverage before a new device is dispatched. This is a routine account and billing question that can be handled by standard support scripts or automated responses regarding membership continuity.,"@305546 I understand your concern. However, the prime membership offered with Echo will be applicable only when the product  1/3^AP"
@AmazonHelp Getting errora https://t.co/qLxnCgRP0A,Other/General Inquiry,No,"The tweet is vague and lacks specific details about the error or context, making it a general inquiry that does not indicate severe anger, complexity, or safety risk.",@213506 I'm sorry for the trouble with this Music Unlimited promotional code! Are you currently located in the US or Canada? ^ST
@AmazonHelp Is this a unit price or the order value. At the time of Medical emergency do u think it is good to charge these charges? U should sometimes leave profit as moto,Account/Billing Issue,No,"The customer is questioning a billing charge and expressing frustration, but the issue is not complex, does not involve safety risks, and does not indicate extreme anger requiring immediate human intervention. It can be handled by standard support workflows.","@623216 For more details on the shipping charges, request you to check here: https://t.co/VlwkizfxE7. 2/2 ^OS"
Accidentally shipped my amazon order to @71609 and they claim they don’t have it...but uh..? I messed up with shipping but somebody did something incorrect. Somewhere. USPS doesn’t mark things as delivered if they weren’t. https://t.co/HKGaCgM6Fe,Delivery/Shipping Issue,No,"This is a routine shipping discrepancy where the package was sent to the wrong address. While the customer is frustrated, the issue is not complex, does not involve safety risks, and can be handled by standard support procedures for misdelivered packages.",@299202 I'm sorry your order hasn't arrived. Please give these steps a try: https://t.co/Bxg19d9eiH ^RA
"@115821 @6954 @1404 @AmazonHelp @115850 A GENUINE COMPANY ONCE IS SURE THAT PRODUCT IS FAKE, WOULD HV ASKD ITS  SUPLIERS TO REPLACE IT IMMEDIATELY &amp; WOULD HV SUSPENDED HIM. HOWEVER  AMAZON INSTEAD HARASSES ITS CUSTOMERS THEREBY SUPPORTING ITS   FRAUD  SUPPLIERS AS IT IS INVOLVED IN IT",Product/Item Defect,Yes,"The customer is extremely angry (all caps, strong language) and making serious accusations of fraud and corporate complicity, which requires human intervention to de-escalate and investigate.","@270757 I get your concern. However, all the products sold on Amazon are 100% genuine. If you have any concerns with your order, please connect with our support team here: https://t.co/vlvfJr4nN9 and we'll assist. ^HS"
@AmazonHelp which correspondence e-mail  ?????? send me the link again,Account/Billing Issue,No,Routine request for account-related information (email correspondence link) with no signs of severe anger or complex security risk.,@227488 You can check the correspondence sent by our team here: https://t.co/ubzNHWZvL2 ^SG
@117086 Café. Sempre. 💗,Other/General Inquiry,No,"The tweet is a casual, positive social media interaction unrelated to any specific service issue, defect, or account problem.",@361965 Olá Giovana! Com certeza é a melhor escolha! 📚+☕️=❤️ ^HC
"@115850 Courier Amazon Transportation Services
Tracking # 210166419480 haven't received the product. U spoiled my festival worst service",Delivery/Shipping Issue,No,Routine missing package inquiry with a tracking number provided; standard procedure applies.,"@206736 Please don't provide your order details, as we consider it to be personal info. Our Twitter page is visible to the public."
"@AmazonHelp The carrier is canada post. People I talked to on the phone did not seem to have the same info I did. I got TWO emails today saying there was trouble delivering my package, even though I have even given an alternative address for delivery.",Delivery/Shipping Issue,No,This is a routine delivery tracking and address discrepancy issue that can be handled by standard support workflows without requiring immediate human escalation.,"@819086 Have you reached out to Canada Post regarding a reroute of your parcels? If they're in possession of the parcel, and it's already in transit, they'll be in the best position to assist. We can reach out to them on your behalf here: https://t.co/Q7Ftz6nj80 ^WT"
@AmazonHelp Confirmation email said Wednesday but the email saying it was dispatched says Thursday,Delivery/Shipping Issue,No,Routine inquiry regarding a discrepancy in shipping dates; no signs of anger or complex security issues.,@708433 Your best option is to keep an eye on the tracking information.  You can see it here:  https://t.co/Y5jpI9gRhE  And please let us know if it doesn't arrive today.  ^SP
@AmazonHelp dont need assistance when you dont have ethics @1145 what law &amp; policy if Goods are overprice than MRP  @118341,Other/General Inquiry,No,The tweet is a general complaint about pricing ethics and policy rather than a specific actionable issue like a failed delivery or account breach. It does not indicate severe anger requiring immediate human intervention or a complex technical problem.,"@695084 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. ^VN (2/2)"
@AmazonHelp I want that item and had specifically asked for the item to be resent and now I am told I have to order the item again and the refund is being processed and will take 2-4 days. I don't even have a number to call and complain.,Returns/Refunds,No,"The customer is expressing frustration about a standard return/refund process and lack of phone support, but the issue is not complex, does not involve safety risks, and does not indicate extreme anger requiring immediate human intervention.","@723871 We apologize for this situation. If an order can't be fulfilled, we e-mail you with the reason. Unfortunately a canceled order can't be reinstated. We request you to place fresh order. To discuss your grievances, you can reach us here: https://t.co/R3EfhzgU8B. ^CB"
@AmazonHelp Où contacte t'on le sav ?,Returns/Refunds,No,"The customer is asking for contact information for the after-sales service (SAV), which is a routine inquiry typically handled by standard support channels or automated responses.","@434259 Vous pouvez contacter notre SAV en cliquant sur le lien suivant : https://t.co/qzuu0dgDXz
^MD"
@115821 Please update customer care data I m nt able place customer call service bcz if ur nt able find my order😡😡 https://t.co/UvzJ0Vjd18,Account/Billing Issue,No,"The customer is frustrated about being unable to reach support due to order lookup issues, but this is a routine service accessibility problem that can be handled by standard support channels without immediate human escalation.",@607655 I'm sorry to know your phone number has been blocked. Kindly drop an email to our support 1/2 ^SH
Ima start buying three packs of water instead of two. Be RUNNING through it. I wish i could buy a pack of aquafina in the 1 liter bottles. @115821 do you have this?,Other/General Inquiry,No,"This is a general product availability inquiry and casual comment, not a complaint or complex issue.","@813118 Keep hydrating Jessica! I did not find the an liter bottles, but we do have Aquafina in the 20oz bottles it looks like! https://t.co/kBJjfIY7E8 ^DJ"
@AmazonHelp I received a notification on one of my orders stating that it was in my town's distribution centre and now it is gone and the delivery date has changed from today to either the 6th of December or the 7th. What is going on? https://t.co/k7nkycXjOj,Delivery/Shipping Issue,No,"This is a routine inquiry regarding a change in delivery status and date, which can be handled by standard support processes or automated tracking updates.","@228694 Hi, from the screenshot provided it isn't showing as dispatched yet. Can you let us know if you received confirmation of dispatch via e-mail? ^KI"
以前amazonプライム会員無料の時にお試しで入ったやつがずっと継続で引き落としされてた,Account/Billing Issue,No,"This is a routine billing dispute regarding an unintended subscription renewal, which can be handled by standard refund and account management procedures.",@472566 (1/2)意図しないご登録となり申し訳ありません。プライム無料体験にご登録後に自動更新をオフに設定されていない場合、体験期間終了後に有料会員へと移行となります。 YM
"@AmazonHelp si, ya he abierto una reclamación por telefono",Returns/Refunds,No,"The customer is simply confirming that they have already initiated a claim by phone. This is a status update rather than a new complex issue, angry outburst, or safety risk, so it does not require immediate human escalation.","@752585 Excelente, mantennos al tanto. ^MB"
"@AmazonHelp Me puedes explicar qué significa el reemplazo,  por favor.  No quiero el reembolso. Por otro lado, ¿cuando me va a llegar? Gracias",Returns/Refunds,No,"The customer is asking for clarification on a replacement process and a delivery estimate, which is a routine inquiry without signs of anger or complex issues.",@416965 Reemplazo es un nuevo producto. Si seleccionas esta se procesa un nuevo pedido y se te da una nueva fecha para el mismo. ^JD
Didn't expect so poor response from @115850 1st they delivered faulty #iPhone6S nd now not responding my complaint. #fraudcompany @131027 https://t.co/LFa59a5n0n,Product/Item Defect,Yes,"Customer is expressing high anger, using strong negative language ('fraudcompany'), and reporting a lack of response to a previous complaint regarding a defective product.",@374354 I'm sorry for that. I'd like to help you. Please fill this form: https://t.co/beaaDm0muc and I’ll contact you soon. ^BV
Insupportable d’attendre un colis @8200 pendant 25 jours quand tu es abonné @120533 #durdur,Delivery/Shipping Issue,No,"The tweet expresses frustration about a delayed delivery (25 days) but does not indicate a severe safety risk, complex technical issue, or extreme anger requiring immediate human intervention. It is a routine shipping delay complaint.","@147819 Bonjour,
S'agit-il d'une commande effectuée sur Amazon.fr s'il vous plaît?

Sana ^^"
"Sempre ouvi falar bem da @117086 mas depois dessa, mano... Eu não quero me envolver mais com ela",Other/General Inquiry,Yes,Error parsing: Connection error.,@221318 Olá Andrëw L ♠. Podemos te ajudar em alguma coisa? ^JJ
@AmazonHelp It does say the expected delivery is now 11/24-11/28. Frustrating considering that wasn’t updated until after the original delivery date had passed,Other/General Inquiry,Yes,Error parsing: Connection error.,"@507610 I know how inconvenient it can be not to have the items you're counting on, and I'm sorry for the unexpected wait. Please keep us posted, and let us know if it doesn't arrive on Tuesday. ^JN"
"@52379 Hi, I ordered a gold hanging file organizer months ago on @115821 and there is no shipping date forthcoming. Are you going to make more of them so my office can shine?",Other/General Inquiry,Yes,Error parsing: Connection error.,"@410570 Hi Amanda, you'll be updated on the status of your order as soon as information is available. Sorry for your wait and hopefully it won't be long before your office can sparkle and shine! Let us know if you need any further assistance. ^AP"
@AmazonHelp スマホからの登録は可能ですか？,Other/General Inquiry,Yes,Error parsing: Connection error.,@134044 はい、スマートフォンからでもご登録いただけます。　SM
@AmazonHelp  https://t.co/aL4g20CsRI,Other/General Inquiry,Yes,Error parsing: Connection error.,@269144 Our website is currently up and running. There have been no other reports of outage. Could you try deleting the cookies and clearing the cache of your browser and trying to access the site again?^PJ
@AmazonHelp my order keeps saying my order payment is a problem then I fix it then it pops up again I even did one day shipping on Sunday and it still hasn’t shipped!,Other/General Inquiry,Yes,Error parsing: Connection error.,@710007 I'm sorry for the trouble with your order. A charge can fail for many reasons. Reaching out to your issuing bank to ask about their restrictions regarding electronic or Internet purchases may be best. ^KP
@AmazonHelp Plz update,Other/General Inquiry,Yes,Error parsing: Connection error.,@481022 Apologies for the delay. Could you confirm if you've shared the details using the link provided in the previous post? ^SK
@AmazonHelp No,Other/General Inquiry,Yes,Error parsing: Connection error.,@522626 What has occurred? ^MC
@AmazonHelp What is the use of having Prime access when the promise delivery date is extended by 2 days.,Other/General Inquiry,Yes,Error parsing: Connection error.,"@195058 I get the disappointment with the recent experience. As requested earlier, please respond to the latest correspondence. ^MA"
@AmazonHelp I need to know about Kindle KDP.,Other/General Inquiry,Yes,Error parsing: Connection error.,@637503 That's great. You can find all the relevant info here: https://t.co/SPau0uvb6P kindly take a look. ^MS
@AmazonHelp I have a subscription free trial. I want to cancel it before billed but it won’t show up in my subscriptions. How do I cancel it,Other/General Inquiry,Yes,Error parsing: Connection error.,"@380640 Hi there, are you referring to an Amazon Channel Subscription or the Prime Membership? ^DW"
Didn't expect such goofups and loose attitude after sale from a giant like #Amazon @AmazonHelp @115850 @115821,Other/General Inquiry,Yes,Error parsing: Connection error.,@706762 Looks like you had a bad experience with us. Please tell us what went wrong. ^BS
@AmazonHelp tal vez no entendieron mi inglés??? Se como sea la orden tardo 2 días y el reembolso que se me prometio nunca llego tampoco. 48hrs?? Ya van 72hrs y nada no mientan a los clientes,Other/General Inquiry,Yes,Error parsing: Connection error.,@243933 Lamentamos lo sucedido Carlos. ¿Has entrado en contacto con nuestro Soporte al Cliente para tener más información al respecto? ^AZ
@120533 vraiment vous abusez plus d’une semaine pour livrer des écouteurs ptn jvais faire comment lundi,Other/General Inquiry,Yes,Error parsing: Connection error.,"@480788 Bonjour, je suis navrée pour cet incident, quelle est la date de livraison indiquée dans le mail de confirmation ? ^ASZ"
@amazonhelp C'était pour aujourd'hui ou hier à la base (quand j'ai commandé),Other/General Inquiry,Yes,Error parsing: Connection error.,@320305 Je suis désolée pour ce retard. Je vous prie de le signaler à notre SAV via :  https://t.co/hgIrz98cdI ^FA
@AmazonHelp não posso devolver pois não comprei as pilhas pelo site e sim o produto com uma descrição errada que me prejudicou.,Other/General Inquiry,Yes,Error parsing: Connection error.,"@273039 Bianca, poderia confirmar para nos, se o seu pedido foi vendido pela Amazon ou um vendedor externo no nosso site? ^HC"
"@AmazonHelp Bonjour ! Non pas encore je pensais me renseigner auprès de mes voisins d'abord, comme j'y suis depuis peu je ne connais pas ts le monde 😅",Other/General Inquiry,Yes,Error parsing: Connection error.,"@463477 1/2 Je comprends que cela puisse vous importuner, mais effectivement je vous prie de vous renseigner auprès de vos voisins."
@706429 @116316 @AmazonHelp @116316  Could you please clear this ?,Other/General Inquiry,Yes,Error parsing: Connection error.,@706428 Please contact us via: https://t.co/dDmBEPionb My colleagues can explain you our warranty and the specific terms.
@AmazonHelp Phone number? Mobile? Land line? Country code? Double zero or +1? This is getting closer to helpful.,Other/General Inquiry,Yes,Error parsing: Connection error.,"@147602 Take a look at the ""manage contacts"" here https;//www.amazon.co.uk/gp/help/customer/display.html?nodeld=202153370
^DJ"
"@AmazonHelp The item was fine, luckily I just missed the delivery. No just our address, we have 2 big bushes right below the light.... surely they would be more of a better space?",Other/General Inquiry,Yes,Error parsing: Connection error.,"@662453 Hey Nicole, if you can think of the ideal spot for an unattended parcels, you can leave instructions! Please see https://t.co/qoQUmCbJHi for more information. Let us know if we can help! ^PF"
@AmazonHelp I don't need that lame excuse again so if possible give out the delivery boy contact no. Or else i need to wait like a fool here cancel all the plans and shut,Other/General Inquiry,Yes,Error parsing: Connection error.,@239066 Twitter being a Social Media Platform we would not be able to check your order/account details. We have received your details and we will get in touch with you soon. ^AH
"架空請求きたよww

しかとショートメールでAmazon相談係。 https://t.co/Frn8ZegIuB",Other/General Inquiry,Yes,Error parsing: Connection error.,"@823853 ご承知のとおり、残念ながら悪質な詐欺が増加しているようですのでお気を付けください。
https://t.co/st4oU5QbhP を装った詐欺と思われる連絡を受け取った際はこちらをご覧ください。→ https://t.co/hY0XTcbk1X SK"
"Hey, @AmazonHelp little help here? https://t.co/Rvl6i5Q4oh",Other/General Inquiry,No,"The tweet is a general request for help without specific details indicating anger, complexity, or safety risks. It likely requires initial triage to determine the specific issue.","@797111 I'm so sorry for the delay, Mike! We strive to meet our original delivery date, but in rare circumstances we experience delays. We're sorry for any inconvenience this may cause! If you do not receive your package by Nov 29th at 8PM, please let us know! ^AR"
"Gotta say, @115821 I’m a bit disappointed that a two day shipping preorder is gonna take six days.",Delivery/Shipping Issue,No,The customer is expressing disappointment about a shipping delay but the tone is mild and not aggressive. This is a routine inquiry regarding delivery timelines that can be handled by standard support processes.,@736897 Can I ask what was the original estimated delivery date given to you on the confirmation email when you placed this order? ^GA
@AmazonHelp Yes I have,Other/General Inquiry,No,"The tweet is a fragmentary response with no specific issue, anger, or complexity indicated.",@419803 Has the Seller gotten back in touch with you regarding this delivery? If so what was advised? ^NV
@AmazonHelp My estimated delivery is b4 12th of this month,Delivery/Shipping Issue,No,Routine inquiry regarding delivery estimate without signs of anger or complex issues.,"@161882 If the product is out for delivery, it shall be delivered by the end of the day. Kindly wait. ^HK"
@AmazonHelp Just received my package before leaving. Thanks! :),Delivery/Shipping Issue,No,Positive feedback regarding successful delivery; no issue to resolve.,@367685 Excellent! Thank you for letting us know. We're here to help if anything else comes up. ^RA
"@116875 oye, el código promocional del buen fin no jala 😞😞😞",Account/Billing Issue,No,"The customer is reporting a failed promotional code, which is a routine billing/payment issue. The tone is disappointed but not angry, and the issue is not complex or safety-related.",@735938 ¡Hola Carlos! ¿Nos podrías por favor indicar cual es el código promocional que estás intentando utilizar? Además ¿Te has asegurado de que sean todos artículos vendidos y distribuidos por Amazon México los que deseas comprar? ^AD
"@120533 s'il vous plaît, j'ai reçu aucun avis de passage ou quoi que ce soit.",Delivery/Shipping Issue,No,Routine inquiry regarding missing delivery notification; no signs of extreme anger or complex security issues.,"@407898 Bonsoir, je suis désolée pour cela. Quel est le transporteur qui prend en charge votre livraison je vous prie? ^BR"
@115850 where is my order..?? Ur customer service is worst... I am fighting for my right since 10 days but not a single call from your end,Delivery/Shipping Issue,Yes,"Customer is highly frustrated, has been waiting 10 days without resolution or contact, and explicitly complains about lack of support, indicating a complex or stalled case requiring human intervention.","@215213 I understand your concern, Mangirish. We've emailed a correspondence to you. (1/2)^SF"
"@AmazonHelp I’m assuming someone thinks my email is theirs. 
Don’t remember if I have two factor auth. enabled, but wouldn’t that be why I’m getting all the text messages?",Account/Billing Issue,Yes,"The customer is experiencing unauthorized access attempts or account compromise (receiving verification texts for an email they do not own), which poses a security risk and requires immediate human intervention to secure the account.","@787659 Yes, text messages from Amazon are usually verification codes and shipping/tracking information. Please contact us here so we can discuss what steps to take so we can get this resolved for you.  https://t.co/hApLpMlfHN Thanks! -VR"
@AmazonHelp Mes commande ont été expédié hier et devaient arriver aujourd'hui... Jour de sorti de l'album. Si j'avais su je serai allée en magasin...,Delivery/Shipping Issue,No,"The customer is expressing disappointment about a delivery delay but is not angry, threatening, or reporting a complex technical issue. It is a routine shipping status inquiry/complaint.",@647637 J'en suis navrée. Quelle est la nouvelle date de livraison communiquée ? ^SM
@AmazonHelp That link requests account details or set up an account. She doesn't have one or want one.,Account/Billing Issue,No,"The customer is reporting a usability issue where a link forces account creation, which is a common support query that can be handled by standard support scripts or automated responses without requiring immediate human escalation.",@230455 I certainly understand! This link may help a little more: https://t.co/jzvkhdlrK5. Please let us know if we can be of any further assistance. ^HC
@AmazonHelp Not going to reach out to your team everytime. Understand the issue and try to solve it,Other/General Inquiry,No,"The tweet is a general complaint about customer service responsiveness without specific details of a complex issue, severe safety risk, or extreme anger requiring immediate human intervention.","@488007 We are working on it, Aseem.  Please allow us some time, we will reach out to you at the earliest with an update. ^AH"
@120533 prévoyez vous de proposer sur votre boutique Snipperclips Plus non version boîte? Proposé par Amazon DE ES IT...,Other/General Inquiry,No,"The customer is asking a general question about product availability (physical box version of a game) and comparing it to other regional stores. This is a routine inquiry that does not indicate anger, complexity, or safety risks.","@424333 Bonsoir, pourriez-vous m'expliquer davantage s'il vous plaît?^FT"
@AmazonHelp Pas de problème !,Other/General Inquiry,No,"The tweet is a positive statement indicating no problem exists, requiring no action or escalation.",@364937 👍
@AmazonHelp そういう事もあるんですね、ご丁寧にありがとうございました！,Other/General Inquiry,No,The customer is expressing gratitude and acknowledging a previous response; there is no active issue or complaint to resolve.,@349835 とんでもない事です。その他ご不明な点がありましたら、いつでもご遠慮なくお問い合わせください。 EK
@AmazonHelp getting aggravated trying to deal with amazonuk chat support about double payments for items coming out of my bank account and telling me my payments are been rejected. Thanks for leaving a really sour taste in my mouth,Account/Billing Issue,Yes,"Customer reports double payments (financial discrepancy) and expresses significant frustration ('aggravated', 'sour taste'), indicating a complex billing issue requiring human intervention.","@790703 Oh no! I'm so sorry to hear about your troubles, Alan. Did chat support offer you any insight as to why this is happening? ^VF"
@115830 trying to contact your @AmazonHelp as i need assistance regarding account security. No response as of yet..,Account/Billing Issue,Yes,Involves account security risk and lack of response from support channels.,"@171901 Sorry to hear about this. We would like to help. W/o posting personal info, are you able to elaborate on the issue? ^PK"
"@AmazonHelp Attempting to purchase episodes for Amazon Video and pretty much all of them (especially the season I want, which is Season 2) State I cannot purchase from this device. https://t.co/I08NWmSkD4",Digital Services (Video/Kindle),No,"This is a technical issue with a digital service (Amazon Video) preventing purchase on a specific device. It is not a severe safety risk or an expression of extreme anger, and can typically be resolved through standard troubleshooting or automated support flows.",@279399 Which device are you using to purchase the episodes? ^QJ
"@AmazonHelp That really doesn’t help, it directs me to a page that says it was delivered at 11.27pm last night, which it wasn’t!",Delivery/Shipping Issue,No,"This is a routine dispute regarding a false delivery scan, which is a standard support workflow and does not indicate extreme anger or a complex security risk.","@238519 I am so sorry, Andy! Please reach out to us here: https://t.co/JzP7hlA23B so we can look into this together. ^SC"
It'd be nice if @115821 didnt keep changing the delivery dates of my items after I order them.,Delivery/Shipping Issue,No,"This is a general complaint about delivery date changes, not a specific urgent incident or severe safety risk.","@221869 I'm so sorry to hear about your delivery delays. To confirm, these items are arriving after the date given in the order confirmation e-mail? Is there a specific shipping carrier that this is happening with? ^MJ"
きいて、きいて、わたしは去年の12月12日からAmazonプライム会員だったらしいという衝撃の事実。申し込んだ覚えなんにもねえ。。。←,Account/Billing Issue,Yes,"The customer claims an unauthorized subscription to Amazon Prime, which indicates a potential security breach or unauthorized billing activity requiring human investigation.",@716688 ご注文時に無料のお急ぎ便をご利用いただきませんでしたでしょうか。プライム無料体験を利用いただきました場合、サイトの記載ならびにEメールにてご案内のとおり、自動更新設定をオフにしない限り30日の期間終了後に本会員へ移行します。MH https://t.co/pvMjYopvl5
@AmazonHelp Today.  I was home.  Couldn't deliver???  Can't cancel order??? You guys are pathetic.  @AmazonHelp,Delivery/Shipping Issue,No,"The customer is expressing frustration about a failed delivery and inability to cancel, but the issue is a routine operational problem that can be handled by standard support workflows without requiring immediate human escalation for safety or complexity.","@325603 Apologies Ethan, do you know who the carrier is? ^BD"
@AmazonHelp So after researching I have found this to be 100% due to the AMZL flex shipping service. How do I opt out of this carrier?,Delivery/Shipping Issue,No,"This is a routine request to change shipping preferences (opting out of a specific carrier), which can be handled by standard support procedures or self-service tools.",@816246 We currently don't have way to opt out of a specific shipper for your Amazon orders. You can learn more about our shipping carriers here: https://t.co/zo1absCEeY ^LR
Amazon order didn’t get delivered yet and the mail carrier didn’t take my package even though I scheduled a pick-up. 🤨,Delivery/Shipping Issue,No,Routine delivery tracking and carrier coordination issue; no signs of extreme anger or safety risk.,"@807441 I'm sorry for the wait! We may deliver as late as 8PM. Please keep us updated, as we want to ensure you get your order! ^WT"
@117086 quantos emails mais vou precisar enviar para vocês me responderem sobre meu pagamento de associados?,Account/Billing Issue,No,"The customer is expressing frustration about a lack of response regarding a payment, but the issue is a routine billing inquiry that does not indicate severe anger, complexity, or safety risk requiring immediate human escalation.","@158442 Olá DaYukie, você poderia nos explicar com mais detalhes o que aconteceu sem publicar detalhes da sua conta? ^DA"
@115821 this has been the order from Hell &amp; you outsource your customer service to people who have not been properly trained. https://t.co/VrfPRXF8gj,Delivery/Shipping Issue,Yes,"Customer expresses extreme frustration ('order from Hell') and explicitly criticizes the quality of customer service, indicating a high-risk situation that requires human intervention to de-escalate.","@386599 That doesn't sound good, what happened? ^AS"
"@AmazonHelp @127187 @115851
Order# 405-2964732-9352306
Replacement Not Provided for the Stone Delivery instead of Mobile, Sufferring Loss of 7,500 for Fresh Order. Return Initiated without any Resolution or Compensation. Diwali Gift Ruined by Amazon https://t.co/64EJFlkmL1",Returns/Refunds,Yes,"Customer reports a significant financial loss (7,500) due to a failed replacement and unresolved return, indicating a complex issue requiring human intervention.",@344751 I'm terribly sorry for this situation. We have sent you an email correspondence. ^MP (1/2)
@AmazonHelp I really don’t care if you guys don’t know how to keep up to your commitments don’t expect customers to be nice with you,Other/General Inquiry,No,The tweet expresses general frustration and dissatisfaction but does not specify a concrete issue (like a missing package or billing error) that requires immediate human intervention or contains severe safety/security risks.,@557239 Please reach out to us from the link shared above by 'AH' and we will assist you accordingly. ^HR
Amazonの商品の返品ってどーやんの,Returns/Refunds,No,"This is a general inquiry about the return process, which is a routine question that can be handled by standard automated responses or FAQ links.",@732852 Amazonです。返品方法につきましてはこちらのヘルプページをご参照ください→https://t.co/gz4ze648Kh SK
@AmazonHelp @117086 vc é uma fanfarrona! Fui dar uma moral pra vcs assinando o #PrimeVideo e me surpreendi com legendas em inglês 😭 what?!,Digital Services (Video/Kindle),No,"The customer is expressing frustration about missing subtitles in a digital service, which is a common technical issue that can be resolved via standard support channels without immediate human escalation.",@448077 Olá. Você pode configurar o Prime Video para português na página Conta e configurações no site https://t.co/FYM9PIZOR8.^JJ(1/2)
@AmazonHelp Before 2 days I was shared my detail but nothing happens what would I do,Account/Billing Issue,No,"The customer is inquiring about the status of a previously submitted request (likely account verification or data update). This is a routine status check that can be handled by standard support workflows or automated status updates, without indicating extreme anger or a complex security risk.","@363468 If you've shared the details, we'll get in touch with you soon. I'd request you to wait. ^JC"
@AmazonHelp Heights! was told morning by ur support team order wud be deliverd in 2hrs but still not done mob num of delivry agent off since yesterday!,Delivery/Shipping Issue,No,This is a routine delivery delay and contact issue that can be handled by standard support protocols without requiring immediate human escalation.,"@638002 I understand that this has not been a pleasant experience, Sanjeev. Please fill in your details via the link provided earlier and we will have this checked. ^KS"
@AmazonHelp It's the wrong description on the episode. That's next week's.,Digital Services (Video/Kindle),No,"This is a routine content metadata error report for a digital service, which can be handled by standard support workflows without requiring immediate human escalation.",@793623 Thanks for letting us know! Please reach out to us here: https://t.co/JzP7hlA23B and we'll investigate further. ^JO
